City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
454,Krasnoselkup,RU,62.28,overcast clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
455,Cody,US,93.63,clear sky,44.5263,-109.0565,"Holiday Inn Cody-at Buffalo Bill Village, an IHG Hotel"
457,Vanimo,PG,84.9,few clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
458,Ust-Nera,RU,68.49,light rain,64.5667,143.2,Hotel Ust-Nera
462,Port Augusta,AU,63.19,clear sky,-32.5,137.7667,Majestic Oasis Apartments
463,Moose Factory,CA,69.8,broken clouds,51.2585,-80.6094,Cree Village Eco Lodge
464,Amboasary,MG,60.91,clear sky,-25.0333,46.3833,Le Bon Samaritain
465,Pitsunda,GE,64.58,moderate rain,43.1592,40.3378,Hotel FREEDOM
466,Black River,JM,81.99,broken clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
469,Xam Nua,LA,70.74,broken clouds,20.4197,104.0439,Xee Wang Guesthouse
470,Zhigansk,RU,60.46,broken clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
472,Marsh Harbour,BS,83.16,clear sky,26.5412,-77.0636,Abaco Beach Resort
473,Puerto Escondido,MX,82.18,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
474,Yatou,CN,69.57,light rain,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
475,Udachnyy,RU,61.45,clear sky,66.4167,112.4,Severnoye Siyaniye
